DATE,FEDFUNDS,debt_to_gdp,democrat,election,expenditure_to_gdp,inflation,president,president_party,ygap,lag_FEDFUNDS,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,pres11,pres12,pres13,pres14,pres15,elec_dem,elec_rep
1-Jan-53,,,0,0,17.39040136,-1.15368,Dwight Eisenhower,R,4.22659749,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Apr-53,,,0,1,17.75021802,1.50264,Dwight Eisenhower,R,4.014450105,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-Jul-53,,,0,2,17.34434323,1.84132,Dwight Eisenhower,R,2.472877667,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1-Oct-53,,,0,3,17.95774282,0.70036,Dwight Eisenhower,R,0.032127127,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1-Jan-54,,,0,4,17.32216792,0.93716,Dwight Eisenhower,R,-1.200299979,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1-Apr-54,,,0,5,16.94300616,-0.63816,Dwight Eisenhower,R,-1.77093617,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1-Jul-54,1.03,,0,6,16.7284262,-1.04052,Dwight Eisenhower,R,-1.330994548,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1-Oct-54,0.99,,0,7,16.53765176,-1.23696,Dwight Eisenhower,R,-0.018600941,1.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1-Jan-55,1.34,,0,8,16.09669588,0.53816,Dwight Eisenhower,R,2.179270073,0.99000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1-Apr-55,1.5,,0,9,15.47933712,-0.53744,Dwight Eisenhower,R,3.163925598,1.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1-Jul-55,1.94,,0,10,16.02140333,0.299,Dwight Eisenhower,R,3.806993007,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1-Oct-55,2.36,,0,11,15.49320785,1.19504,Dwight Eisenhower,R,3.632008821,1.9400001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1-Jan-56,2.48,,0,12,15.34086587,0.04468,Dwight Eisenhower,R,2.385619326,2.3599999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1-Apr-56,2.69,,0,13,15.86985008,2.63588,Dwight Eisenhower,R,2.402260478,2.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1-Jul-56,2.81,,0,14,15.41511065,4.14248,Dwight Eisenhower,R,1.473581291,2.6900001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
