ID,year,host,country,temp,precipitation,elevation,gold,silver,bronze,population,GDP,participate,medals,athletes,time
1,1980,0,Albania ,53.6,143,2764,0,0,0,2.734776,,0,0,0,1
1,1984,0,Albania ,53.6,143,2764,0,0,0,3.001325,.0641,0,0,0,2
1,1988,0,Albania ,53.6,143,2764,0,0,0,3.336434,.0637,0,0,0,3
1,1992,0,Albania ,53.6,143,2764,0,0,0,3.446858,.0206,0,0,0,4
1,1994,0,Albania ,53.6,143,2764,0,0,0,3.384367,.0587,0,0,0,5
1,1998,0,Albania ,53.6,143,2764,0,0,0,3.325456,.1363,0,0,0,6
1,2002,0,Albania ,53.6,143,2764,0,0,0,3.263596,.1363,0,0,0,7
1,2006,0,Albania ,53.6,143,2764,0,0,0,3.179573,.2872,1,0,1,8
1,2010,0,Albania ,53.6,143,2764,0,0,0,3.150143,.3764,1,0,1,9
1,2014,0,Albania ,53.6,143,2764,0,0,0,3.162083,.2872,1,0,2,10
2,1980,0,Algeria ,62.1,81.40000000000001,3003,0,0,0,19.475204,.2174,0,0,0,1
2,1984,0,Algeria ,62.1,81.40000000000001,3003,0,0,0,22.150483,.2424,0,0,0,2
2,1988,0,Algeria ,62.1,81.40000000000001,3003,0,0,0,24.904931,.2373,0,0,0,3
2,1992,0,Algeria ,62.1,81.40000000000001,3003,0,0,0,27.535151,.1743,1,0,4,4
2,1994,0,Algeria ,62.1,81.40000000000001,3003,0,0,0,28.752749,.148,0,0,0,5
2,1998,0,Algeria ,62.1,81.40000000000001,3003,0,0,0,30.820435,.1564,0,0,0,6
2,2002,0,Algeria ,62.1,81.40000000000001,3003,0,0,0,32.572977,.1743,0,0,0,7
2,2006,0,Algeria ,62.1,81.40000000000001,3003,0,0,0,34.507214,.3391,1,0,2,8
2,2010,0,Algeria ,62.1,81.40000000000001,3003,0,0,0,37.06282,.435,1,0,1,9
2,2014,0,Algeria ,62.1,81.40000000000001,3003,0,0,0,38.481705,.3391,0,0,0,10
3,1980,0,American Samoa,84.2,164.1,964,0,0,0,.032456,,0,0,0,1
3,1984,0,American Samoa,84.2,164.1,964,0,0,0,.037687,,0,0,0,2
3,1988,0,American Samoa,84.2,164.1,964,0,0,0,.044049,,0,0,0,3
3,1992,0,American Samoa,84.2,164.1,964,0,0,0,.049597,,0,0,0,4
3,1994,0,American Samoa,84.2,164.1,964,0,0,0,.051807,,1,0,2,5
3,1998,0,American Samoa,84.2,164.1,964,0,0,0,.055899,,0,0,0,6
3,2002,0,American Samoa,84.2,164.1,964,0,0,0,.058729,,0,0,0,7
3,2006,0,American Samoa,84.2,164.1,964,0,0,0,.058652,,0,0,0,8
3,2010,0,American Samoa,84.2,164.1,964,0,0,0,.055636,,0,0,0,9
3,2014,0,American Samoa,84.2,164.1,964,0,0,0,.055128,,0,0,0,10
4,1980,0,Andorra ,42.3,51,2946,0,0,0,.036063,1.2378,1,0,3,1
4,1984,0,Andorra ,42.3,51,2946,0,0,0,.042704,.7729,1,0,2,2
4,1988,0,Andorra ,42.3,51,2946,0,0,0,.050431,1.4305,1,0,4,3
4,1992,0,Andorra ,42.3,51,2946,0,0,0,.058904,2.0542,1,0,5,4
4,1994,0,Andorra ,42.3,51,2946,0,0,0,.062707,1.6227,1,0,6,5
4,1998,0,Andorra ,42.3,51,2946,0,0,0,.063799,1.8996,1,0,3,6
4,2002,0,Andorra ,42.3,51,2946,0,0,0,.071639,2.0327,1,0,3,7
