DATE,FEDFUNDS,debt_to_gdp,democrat,election,expenditure_to_gdp,inflation,president,president_party,ygap,lag_FEDFUNDS,pres1,pres2,pres3,pres4,pres5,pres6,pres7,pres8,pres9,pres10,pres11,pres12,pres13,pres14,pres15,elec_dem,elec_rep
01jan1953,,,0,0,17.39040135600442,-1.15368,Dwight Eisenhower,R,4.226597490133488,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01apr1953,,,0,1,17.75021802294997,1.50264,Dwight Eisenhower,R,4.014450105411096,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
01jul1953,,,0,2,17.34434322622128,1.84132,Dwight Eisenhower,R,2.472877666521556,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
01oct1953,,,0,3,17.9577428241494,.70036,Dwight Eisenhower,R,.0321271266948652,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
01jan1954,,,0,4,17.3221679184268,.93716,Dwight Eisenhower,R,-1.20029997857296,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
01apr1954,,,0,5,16.943006156841,-.63816,Dwight Eisenhower,R,-1.770936170212774,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
01jul1954,1.03,,0,6,16.728426195399,-1.04052,Dwight Eisenhower,R,-1.330994547529491,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
01oct1954,.99,,0,7,16.53765176386866,-1.23696,Dwight Eisenhower,R,-.0186009405441618,1.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
01jan1955,1.34,,0,8,16.09669587911959,.53816,Dwight Eisenhower,R,2.179270072992703,.99000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
01apr1955,1.5,,0,9,15.47933712322359,-.53744,Dwight Eisenhower,R,3.16392559758067,1.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
01jul1955,1.94,,0,10,16.02140333297662,.299,Dwight Eisenhower,R,3.806993006992998,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
01oct1955,2.36,,0,11,15.49320784940533,1.19504,Dwight Eisenhower,R,3.63200882100708,1.9400001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
01jan1956,2.48,,0,12,15.34086586758966,.04468,Dwight Eisenhower,R,2.38561932555124,2.3599999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
01apr1956,2.69,,0,13,15.86985008342851,2.63588,Dwight Eisenhower,R,2.402260477837679,2.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
01jul1956,2.81,,0,14,15.41511064558844,4.14248,Dwight Eisenhower,R,1.473581291403932,2.6900001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
01oct1956,2.93,,0,15,15.8451154465832,3.4118,Dwight Eisenhower,R,2.307046714172599,2.8099999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
01jan1957,2.93,,0,0,16.27439755780952,3.29584,Dwight Eisenhower (2nd term),R,2.107127429805612,2.9300001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01apr1957,3,,0,1,16.46450739052938,3.39848,Dwight Eisenhower (2nd term),R,1.01585014409222,2.9300001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
01jul1957,3.23,,0,2,16.20943299026102,3.56976,Dwight Eisenhower (2nd term),R,1.130406240346005,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
01oct1957,3.25,,0,3,17.05256047292914,1.93892,Dwight Eisenhower (2nd term),R,-.7764971664879766,3.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
01jan1958,1.86,,0,4,16.940689534551,4.74648,Dwight Eisenhower (2nd term),R,-4.279965070807548,3.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
01apr1958,.94,,0,5,17.88045685946626,2.68644,Dwight Eisenhower (2nd term),R,-4.479402018376259,1.86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
01jul1958,1.32,,0,6,17.65921933906875,-.23504,Dwight Eisenhower (2nd term),R,-3.02991931869116,.94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
01oct1958,2.16,,0,7,17.31988637369371,.41504,Dwight Eisenhower (2nd term),R,-1.563102119460516,1.3200001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
01jan1959,2.57,,0,8,16.50928019055624,.691,Dwight Eisenhower (2nd term),R,-.3658052420688902,2.1600001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
01apr1959,3.08,,0,9,16.44074425904974,.68984,Dwight Eisenhower (2nd term),R,1.331035991685802,2.5699999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
01jul1959,3.58,,0,10,16.49315967408008,2.06592,Dwight Eisenhower (2nd term),R,.3756826154569427,3.0799999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
01oct1959,3.99,,0,11,16.63972806793057,2.42524,Dwight Eisenhower (2nd term),R,-.1361061312298251,3.5799999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
01jan1960,3.93,,0,12,15.94028617139757,.36772,Dwight Eisenhower (2nd term),R,1.175975271797064,3.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
01apr1960,3.7,,0,13,16.36334114138758,2.3948,Dwight Eisenhower (2nd term),R,-.2502199542495206,3.9300001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
01jul1960,2.94,,0,14,16.4660686423846,.22992,Dwight Eisenhower (2nd term),R,-1.065584053526623,3.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
