caseid,SpendUnemp,TaxUnempCorrect,KnowledgeIndex2,GOP,KnowledgeIndex2GOP,EducGOP,Educ,AgeGOP,Age,MaleGOP,Male,WhiteGOP,White
1,3,1,3,0,0,0,3,0,39,0,0,0,1
2,2,1,2,0,0,0,2,0,48,0,1,0,0
3,1,3,9,1,9,3,3,60,60,1,1,1,1
4,3,2,9,0,0,0,5,0,63,0,0,0,0
5,1,3,9,1,9,5,5,63,63,1,1,1,1
6,1,2,9,0,0,0,5,0,42,0,0,0,0
7,2,2,8,0,0,0,2,0,76,0,1,0,1
8,1,3,9,1,9,6,6,71,71,0,0,1,1
9,3,1,8,0,0,0,5,0,50,0,0,0,1
10,1,3,9,1,9,4,4,62,62,1,1,1,1
11,1,3,8,1,8,5,5,56,56,1,1,1,1
12,1,1,1,0,0,0,2,0,33,0,0,0,1
13,3,1,9,0,0,0,6,0,53,0,1,0,0
14,1,3,9,1,9,5,5,52,52,1,1,1,1
15,2,3,9,1,9,6,6,66,66,1,1,1,1
16,2,2,8,0,0,0,5,0,50,0,0,0,1
17,3,2,7,0,0,0,6,0,80,0,1,0,1
18,3,1,9,0,0,0,5,0,49,0,1,0,1
19,2,3,9,1,9,6,6,56,56,0,0,1,1
20,1,3,6,1,6,4,4,31,31,0,0,0,0
21,3,2,9,0,0,0,6,0,58,0,1,0,1
22,2,2,8,0,0,0,5,0,45,0,1,0,1
23,1,3,9,1,9,6,6,71,71,0,0,1,1
24,3,2,8,0,0,0,6,0,66,0,0,0,1
25,1,3,8,1,8,4,4,67,67,1,1,1,1
26,1,3,9,1,9,3,3,58,58,1,1,1,1
27,3,2,7,0,0,0,4,0,71,0,1,0,1
28,1,3,9,0,0,0,6,0,43,0,0,0,0
29,3,1,9,0,0,0,6,0,29,0,1,0,1
30,2,3,9,0,0,0,5,0,68,0,1,0,1
31,,2,7,0,0,0,6,0,41,0,1,0,0
32,3,1,0,,,,2,,33,,0,,0
33,3,2,9,0,0,0,6,0,68,0,1,0,1
34,2,2,9,0,0,0,5,0,27,0,0,0,1
35,2,1,8,0,0,0,3,0,64,0,0,0,1
36,3,2,9,,,,6,,65,,0,,1
37,3,2,9,0,0,0,4,0,68,0,1,0,1
38,3,1,9,0,0,0,6,0,62,0,1,0,1
39,3,1,8,1,8,4,4,91,91,0,0,1,1
40,3,1,9,0,0,0,5,0,42,0,1,0,1
41,3,2,8,0,0,0,5,0,74,0,0,0,1
42,3,2,7,0,0,0,5,0,49,0,0,0,1
43,3,2,9,0,0,0,5,0,81,0,0,0,1
44,2,3,9,1,9,4,4,64,64,1,1,1,1
45,1,1,5,0,0,0,5,0,53,0,0,0,1
46,2,2,7,0,0,0,3,0,43,0,1,0,1
47,2,2,3,1,3,4,4,44,44,1,1,1,1
48,1,2,7,1,7,6,6,58,58,0,0,1,1
49,3,2,8,0,0,0,5,0,82,0,1,0,1
50,3,2,5,0,0,0,4,0,44,0,1,0,0
51,3,1,7,0,0,0,3,0,19,0,0,0,1
52,3,2,8,0,0,0,5,0,49,0,0,0,0
53,3,2,9,0,0,0,6,0,67,0,1,0,0
54,2,2,9,0,0,0,3,0,34,0,0,0,1
55,1,3,9,1,9,5,5,64,64,1,1,1,1
56,1,3,8,0,0,0,5,0,58,0,1,0,1
57,1,3,9,1,9,5,5,57,57,1,1,1,1
58,1,3,9,1,9,5,5,76,76,1,1,1,1
59,1,3,8,1,8,5,5,69,69,1,1,1,1
60,3,1,3,0,0,0,3,0,24,0,1,0,0
61,3,1,8,0,0,0,6,0,41,0,1,0,0
62,3,3,5,0,0,0,3,0,57,0,0,0,0
63,1,3,7,1,7,3,3,57,57,1,1,1,1
64,1,1,2,0,0,0,2,0,19,0,0,0,1
65,2,2,5,1,5,3,3,57,57,0,0,1,1
66,1,3,9,1,9,5,5,50,50,0,0,1,1
67,1,3,9,1,9,6,6,54,54,1,1,1,1
68,2,3,4,1,4,5,5,57,57,1,1,1,1
69,3,1,4,0,0,0,3,0,58,0,0,0,1
