state,year,unemployrate,appspc,stcode,stateshort,yr1,yr2,yr3,yr4,yr5,yr6
ALABAMA,2006,3.5,17.182549,ALABAMA,ALA,1,0,0,0,0,0
ALABAMA,2007,3.4000001,15.093025,ALABAMA,ALA,0,1,0,0,0,0
ALABAMA,2008,5,17.530867,ALABAMA,ALA,0,0,1,0,0,0
ALABAMA,2009,9.8999996,19.963013,ALABAMA,ALA,0,0,0,1,0,0
ALABAMA,2010,9.5,15.672668,ALABAMA,ALA,0,0,0,0,1,0
ALABAMA,2011,9,16.657158,ALABAMA,ALA,0,0,0,0,0,1
ALASKA,2006,6.5,84.154579,ALASKA,ALA,1,0,0,0,0,0
ALASKA,2007,6.0999999,64.488045,ALASKA,ALA,0,1,0,0,0,0
ALASKA,2008,6.4000001,82.833786,ALASKA,ALA,0,0,1,0,0,0
ALASKA,2009,7.6999998,83.038284,ALASKA,ALA,0,0,0,1,0,0
ALASKA,2010,8,54.610683,ALASKA,ALA,0,0,0,0,1,0
ALASKA,2011,7.5999999,49.811958,ALASKA,ALA,0,0,0,0,0,1
ARIZONA,2006,4.0999999,37.951584,ARIZONA,ARI,1,0,0,0,0,0
ARIZONA,2007,3.7,26.40579,ARIZONA,ARI,0,1,0,0,0,0
ARIZONA,2008,6,33.541676,ARIZONA,ARI,0,0,1,0,0,0
ARIZONA,2009,9.8999996,44.725582,ARIZONA,ARI,0,0,0,1,0,0
ARIZONA,2010,10.5,38.202709,ARIZONA,ARI,0,0,0,0,1,0
ARIZONA,2011,9.5,31.77784,ARIZONA,ARI,0,0,0,0,0,1
ARKANSAS,2006,5.3000002,22.734564,ARKANSAS,ARK,1,0,0,0,0,0
ARKANSAS,2007,5.3000002,18.295725,ARKANSAS,ARK,0,1,0,0,0,0
ARKANSAS,2008,5.4000001,21.619631,ARKANSAS,ARK,0,0,1,0,0,0
ARKANSAS,2009,7.5,28.033016,ARKANSAS,ARK,0,0,0,1,0,0
ARKANSAS,2010,7.9000001,23.617292,ARKANSAS,ARK,0,0,0,0,1,0
ARKANSAS,2011,8,16.678131,ARKANSAS,ARK,0,0,0,0,0,1
CALIFORNIA,2006,4.9000001,39.772972,CALIFORNIA,CAL,1,0,0,0,0,0
CALIFORNIA,2007,5.4000001,34.643509,CALIFORNIA,CAL,0,1,0,0,0,0
CALIFORNIA,2008,7.1999998,38.381241,CALIFORNIA,CAL,0,0,1,0,0,0
CALIFORNIA,2009,11.3,48.347389,CALIFORNIA,CAL,0,0,0,1,0,0
CALIFORNIA,2010,12.4,43.762154,CALIFORNIA,CAL,0,0,0,0,1,0
CALIFORNIA,2011,11.7,38.337135,CALIFORNIA,CAL,0,0,0,0,0,1
COLORADO,2006,4.3000002,91.941078,COLORADO,COL,1,0,0,0,0,0
COLORADO,2007,3.8,74.758499,COLORADO,COL,0,1,0,0,0,0
COLORADO,2008,4.8000002,93.612984,COLORADO,COL,0,0,1,0,0,0
COLORADO,2009,8.1000004,98.711418,COLORADO,COL,0,0,0,1,0,0
COLORADO,2010,8.8999996,85.583672,COLORADO,COL,0,0,0,0,1,0
COLORADO,2011,8.3000002,75.63327,COLORADO,COL,0,0,0,0,0,1
CONNECTICUT,2006,4.4000001,46.195843,CONNECTICUT,CON,1,0,0,0,0,0
CONNECTICUT,2007,4.5999999,40.703621,CONNECTICUT,CON,0,1,0,0,0,0
CONNECTICUT,2008,5.5999999,49.672676,CONNECTICUT,CON,0,0,1,0,0,0
CONNECTICUT,2009,8.1999998,54.003536,CONNECTICUT,CON,0,0,0,1,0,0
CONNECTICUT,2010,9.3000002,47.266144,CONNECTICUT,CON,0,0,0,0,1,0
CONNECTICUT,2011,8.8000002,38.260578,CONNECTICUT,CON,0,0,0,0,0,1
DELAWARE,2006,3.5,48.064411,DELAWARE,DEL,1,0,0,0,0,0
DELAWARE,2007,3.5,38.154877,DELAWARE,DEL,0,1,0,0,0,0
DELAWARE,2008,4.8000002,29.673218,DELAWARE,DEL,0,0,1,0,0,0
DELAWARE,2009,7.9000001,41.802147,DELAWARE,DEL,0,0,0,1,0,0
DELAWARE,2010,8,32.229671,DELAWARE,DEL,0,0,0,0,1,0
DELAWARE,2011,7.3000002,39.685383,DELAWARE,DEL,0,0,0,0,0,1
DISTRICT OF COLUMBIA,2006,5.6999998,361.31497,DISTRICT OF COLUMBIA,DIS,1,0,0,0,0,0
DISTRICT OF COLUMBIA,2007,5.5,330.82712,DISTRICT OF COLUMBIA,DIS,0,1,0,0,0,0
DISTRICT OF COLUMBIA,2008,6.5999999,313.51999,DISTRICT OF COLUMBIA,DIS,0,0,1,0,0,0
DISTRICT OF COLUMBIA,2009,9.6999998,311.84494,DISTRICT OF COLUMBIA,DIS,0,0,0,1,0,0
DISTRICT OF COLUMBIA,2010,10.1,360.383,DISTRICT OF COLUMBIA,DIS,0,0,0,0,1,0
DISTRICT OF COLUMBIA,2011,10.2,299.35468,DISTRICT OF COLUMBIA,DIS,0,0,0,0,0,1
FLORIDA,2006,3.3,25.762217,FLORIDA,FLO,1,0,0,0,0,0
FLORIDA,2007,4,23.635117,FLORIDA,FLO,0,1,0,0,0,0
FLORIDA,2008,6.3000002,33.163486,FLORIDA,FLO,0,0,1,0,0,0
FLORIDA,2009,10.4,35.009228,FLORIDA,FLO,0,0,0,1,0,0
FLORIDA,2010,11.3,35.034428,FLORIDA,FLO,0,0,0,0,1,0
FLORIDA,2011,10.5,31.588543,FLORIDA,FLO,0,0,0,0,0,1
GEORGIA,2006,4.6999998,28.50992,GEORGIA,GEO,1,0,0,0,0,0
GEORGIA,2007,4.5999999,29.05464,GEORGIA,GEO,0,1,0,0,0,0
GEORGIA,2008,6.3000002,37.431023,GEORGIA,GEO,0,0,1,0,0,0
GEORGIA,2009,9.8000002,41.81414,GEORGIA,GEO,0,0,0,1,0,0
