CourseID,InstrID,Year,Required,Eval,Apct,Enrollment
1008,1,200304,1,4.1799998,.5,194
1420,1,200304,0,4.5999999,.80000001,10
1479,1,200405,0,3.9000001,.91000003,22
1482,1,200405,0,4.6300001,.47,17
1208,2,200304,0,4.9899998,.83999997,55
1290,2,200304,0,4.9699998,.75,80
1378,2,200304,0,4.96,.75999999,37
1666,2,200304,0,4.8299999,.70999998,7
1208,2,200405,0,4.9000001,.79000002,62
1290,2,200405,0,4.9499998,.56,73
1378,2,200405,0,5,.74000001,53
1666,2,200405,0,4.8299999,1,8
1278,2,200607,0,4.98,.83999997,56
1290,2,200607,0,4.98,.76999998,70
1639,2,200607,0,5,1,7
1666,2,200607,0,4.9099998,.91000003,11
1208,2,200708,0,4.9299998,,64
1290,2,200708,0,4.96,,72
1554,2,200708,0,5,,15
1666,2,200708,0,5,,6
1554,2,200809,0,5,.94,16
1666,2,200809,0,4.8299999,1,13
1666,2,200910,0,5,1,14
42,2,200910,0,5,.94,18
1666,2,201011,0,5,1,14
42,2,201011,0,4.8600001,1,17
1666,2,201112,0,5,.86000001,7
42,2,201112,0,5,.5,18
1666,2,201213,0,4.5,.86000001,7
42,2,201213,0,4.9400001,.52999997,17
1337,3,200405,0,4.4200001,.31999999,19
1391,3,200405,0,4.1300001,.40000001,10
1337,3,200607,0,4.5,.33000001,6
1339,3,200607,0,4.0500002,.44999999,20
1391,3,200607,0,4.4299998,.67000002,9
37,3,200607,0,4.3099999,.52999997,17
53,3,200607,0,4,.5,8
1337,3,200708,0,4.6900001,,15
1339,3,200708,0,4.6199999,,16
1435,3,200708,0,4,,5
37,3,200708,0,4.5300002,,17
53,3,200708,0,4,,6
1337,3,200809,0,4.3899999,.5,14
1339,3,200809,0,4.4699998,.56999999,15
1435,3,200809,0,4.6300001,.5,10
37,3,200809,0,4.79,.5,16
53,3,200809,0,4.27,.25,5
1337,3,200910,0,4.6399999,.36000001,11
1339,3,200910,0,4.71,.38999999,18
30,3,200910,0,4.6700001,.44,16
37,3,200910,0,4.8200002,.63,19
1116,4,200304,0,4.3800001,.63999999,14
1396,4,200304,1,4.5700002,.57999998,24
1398,4,200304,1,4.2800002,.67000002,18
44,4,200304,1,4.3800001,.28999999,63
44,4,200405,1,4.1999998,.28,61
44,4,200607,1,4.2600002,.22,45
49,4,200607,1,4.3299999,.5,40
44,4,200708,1,4.46,,52
49,4,200708,1,4.0500002,,20
50,4,200708,0,4.1100001,,22
49,4,200809,1,4.6700001,.33000001,18
49,4,200809,1,4.6999998,.5,10
44,4,200910,1,4.54,.34999999,45
49,4,200910,1,4.8099999,.34999999,20
49,4,200910,1,4.2199998,.46000001,30
1194,4,201011,0,4.5500002,.47,26
44,4,201011,1,4.4400001,.31999999,49
49,4,201011,1,4.3800001,.47,19
49,4,201011,1,4.5,.38,24
49,4,201213,1,3.6800001,.60000002,20
49,4,201213,1,3.9000001,.33000001,24
1287,5,200405,0,4.4200001,.54000002,13
1287,5,200607,0,4.5799999,.63999999,11
1500,5,200607,0,4.5300002,.80000001,5
