DistNumber,Year,OnCycle,LnAvgSalary,CycleSwitch,AfterSwitch,AfterCycleSwitch
4800001,2003,0,10.636093,0,0,0
4800001,2004,0,10.608063,0,0,0
4800001,2005,0,10.589192,0,0,0
4800001,2006,0,10.612335,0,0,0
4800001,2007,0,10.600158,0,1,0
4800001,2008,0,10.582967,0,1,0
4800001,2009,0,10.618715,0,1,0
4800002,2003,0,10.632995,0,0,0
4800002,2004,0,10.612252,0,0,0
4800002,2005,0,10.601966,0,0,0
4800002,2006,0,10.661432,0,0,0
4800002,2007,0,10.653249,0,1,0
4800002,2008,0,10.664667,0,1,0
4800002,2009,0,10.710705,0,1,0
4800003,2003,0,10.666827,0,0,0
4800003,2004,0,10.579105,0,0,0
4800003,2005,0,10.560867,0,0,0
4800003,2006,0,10.640222,0,0,0
4800003,2007,0,10.617607,0,1,0
4800003,2008,0,10.654974,0,1,0
4800003,2009,0,10.671152,0,1,0
4800005,2003,0,10.602059,0,0,0
4800005,2004,0,10.522237,0,0,0
4800005,2005,0,10.482149,0,0,0
4800005,2006,0,10.617643,0,0,0
4800005,2007,0,10.613792,0,1,0
4800005,2008,0,10.646235,0,1,0
4800005,2009,0,10.677183,0,1,0
4800006,2003,0,10.63446,0,0,0
4800006,2004,0,10.634478,0,0,0
4800006,2005,0,10.664085,0,0,0
4800006,2006,0,10.687565,0,0,0
4800006,2007,0,10.671215,0,1,0
4800006,2008,0,10.647114,0,1,0
4800006,2009,0,10.614938,0,1,0
4800007,2003,0,10.641589,1,0,0
4800007,2004,0,10.601646,1,0,0
4800007,2005,0,10.546052,1,0,0
4800007,2006,0,10.531747,1,0,0
4800007,2007,1,10.592637,1,1,1
4800007,2008,1,10.640005,1,1,1
4800007,2009,1,10.670533,1,1,1
4800008,2003,0,10.701924,0,0,0
4800008,2004,0,10.702934,0,0,0
4800008,2005,0,10.706834,0,0,0
4800008,2006,0,10.749804,0,0,0
4800008,2007,0,10.766499,0,1,0
4800008,2008,0,10.764011,0,1,0
4800008,2009,0,10.779984,0,1,0
4800009,2003,0,10.758402,0,0,0
4800009,2004,0,10.696069,0,0,0
4800009,2005,0,10.705478,0,0,0
4800009,2006,0,10.767607,0,0,0
4800009,2007,0,10.771937,0,1,0
4800009,2008,0,10.789546,0,1,0
4800009,2009,0,10.807427,0,1,0
4800010,2003,0,10.694843,0,0,0
4800010,2004,0,10.673445,0,0,0
4800010,2005,0,10.655151,0,0,0
4800010,2006,0,10.680327,0,0,0
4800010,2007,0,10.681226,0,1,0
4800010,2008,0,10.664924,0,1,0
4800010,2009,0,10.686426,0,1,0
4800011,2003,0,10.687339,0,0,0
4800011,2004,0,10.683136,0,0,0
4800011,2005,0,10.670543,0,0,0
4800011,2006,0,10.744927,0,0,0
4800011,2007,0,10.717929,0,1,0
4800011,2008,0,10.7245,0,1,0
4800011,2009,0,10.722883,0,1,0
4800012,2003,0,10.623387,0,0,0
4800012,2004,0,10.599659,0,0,0
4800012,2005,0,10.592373,0,0,0
4800012,2006,0,10.634242,0,0,0
4800012,2007,0,10.617253,0,1,0
4800012,2008,0,10.603933,0,1,0
4800012,2009,0,10.631504,0,1,0
4807350,2003,0,10.763614,0,0,0
4807350,2004,0,10.741147,0,0,0
4807350,2005,0,10.724678,0,0,0
4807350,2006,0,10.7506,0,0,0
4807350,2007,0,10.74008,0,1,0
4807350,2008,0,10.750964,0,1,0
4807350,2009,0,10.787881,0,1,0
4807380,2003,0,10.675001,0,0,0
4807380,2004,0,10.709474,0,0,0
4807380,2005,0,10.69152,0,0,0
4807380,2006,0,10.656926,0,0,0
4807380,2007,0,10.630709,0,1,0
4807380,2008,0,10.63275,0,1,0
4807380,2009,0,10.672445,0,1,0
4807410,2003,0,10.741186,0,0,0
4807410,2004,0,10.696043,0,0,0
4807410,2005,0,10.671232,0,0,0
4807410,2006,0,10.685676,0,0,0
4807410,2007,0,10.644525,0,1,0
4807410,2008,0,10.624979,0,1,0
4807410,2009,0,10.66982,0,1,0
4807440,2003,0,10.743134,0,0,0
4807440,2004,0,10.723881,0,0,0
4807440,2005,0,10.697106,0,0,0
4807440,2006,0,10.736599,0,0,0
4807440,2007,0,10.713792,0,1,0
4807440,2008,0,10.703829,0,1,0
4807440,2009,0,10.722817,0,1,0
4807470,2003,0,10.668544,0,0,0
4807470,2004,0,10.69514,0,0,0
4807470,2005,0,10.658982,0,0,0
4807470,2006,0,10.705668,0,0,0
4807470,2007,0,10.71875,0,1,0
4807470,2008,0,10.717989,0,1,0
4807470,2009,0,10.74054,0,1,0
4807500,2003,0,10.676002,0,0,0
4807500,2004,0,10.631647,0,0,0
4807500,2005,0,10.679594,0,0,0
4807500,2006,0,10.704812,0,0,0
4807500,2007,0,10.66875,0,1,0
4807500,2008,0,10.62123,0,1,0
4807500,2009,0,10.659849,0,1,0
4807530,2003,0,10.627537,0,0,0
4807530,2004,0,10.666054,0,0,0
4807530,2005,0,10.671002,0,0,0
4807530,2006,0,10.714304,0,0,0
4807530,2007,0,10.646119,0,1,0
4807530,2008,0,10.627285,0,1,0
4807530,2009,0,10.623162,0,1,0
4807590,2003,0,10.897522,0,0,0
4807590,2004,0,10.877117,0,0,0
4807590,2005,0,10.862868,0,0,0
4807590,2006,0,10.882617,0,0,0
4807590,2007,0,10.911109,0,1,0
4807590,2008,0,10.906891,0,1,0
4807590,2009,0,10.92991,0,1,0
4807650,2003,0,10.60139,0,0,0
4807650,2004,0,10.583244,0,0,0
4807650,2005,0,10.579084,0,0,0
4807650,2006,0,10.643893,0,0,0
4807650,2007,0,10.592275,0,1,0
4807650,2008,0,10.565841,0,1,0
4807650,2009,0,10.573771,0,1,0
4807680,2003,0,10.692906,0,0,0
4807680,2004,0,10.636643,0,0,0
4807680,2005,0,10.607258,0,0,0
4807680,2006,0,10.638774,0,0,0
4807680,2007,0,10.64629,0,1,0
4807680,2008,0,10.630867,0,1,0
4807680,2009,0,10.693106,0,1,0
4807710,2003,0,10.860068,0,0,0
4807710,2004,0,10.858362,0,0,0
4807710,2005,0,10.833032,0,0,0
4807710,2006,0,10.850121,0,0,0
4807710,2007,0,10.834285,0,1,0
4807710,2008,0,10.830679,0,1,0
4807710,2009,0,10.853177,0,1,0
4807780,2003,0,10.759621,0,0,0
4807780,2004,0,10.738924,0,0,0
4807780,2005,0,10.712973,0,0,0
4807780,2006,0,10.779309,0,0,0
4807780,2007,0,10.769211,0,1,0
4807780,2008,0,10.789958,0,1,0
4807780,2009,0,10.79685,0,1,0
4807800,2003,0,10.710601,0,0,0
4807800,2004,0,10.677869,0,0,0
4807800,2005,0,10.674417,0,0,0
4807800,2006,0,10.692585,0,0,0
4807800,2007,0,10.666135,0,1,0
4807800,2008,0,10.629731,0,1,0
4807800,2009,0,10.66045,0,1,0
4807830,2003,0,10.851626,1,0,0
4807830,2004,0,10.841572,1,0,0
4807830,2005,0,10.829095,1,0,0
4807830,2006,0,10.855884,1,0,0
4807830,2007,1,10.847755,1,1,1
4807830,2008,1,10.847198,1,1,1
4807830,2009,1,10.858665,1,1,1
4807890,2003,0,10.780208,0,0,0
4807890,2004,0,10.784327,0,0,0
4807890,2005,0,10.770225,0,0,0
4807890,2006,0,10.791378,0,0,0
4807890,2007,0,10.80105,0,1,0
4807890,2008,0,10.806227,0,1,0
4807890,2009,0,10.824306,0,1,0
4807950,2003,0,10.675028,0,0,0
4807950,2004,0,10.635246,0,0,0
4807950,2005,0,10.61644,0,0,0
4807950,2006,0,10.655253,0,0,0
4807950,2007,0,10.649275,0,1,0
4807950,2008,0,10.634701,0,1,0
4807950,2009,0,10.670275,0,1,0
4807980,2003,0,10.641029,0,0,0
4807980,2004,0,10.575182,0,0,0
4807980,2005,0,10.558956,0,0,0
4807980,2006,0,10.602847,0,0,0
4807980,2007,0,10.635055,0,1,0
4807980,2008,0,10.624249,0,1,0
4807980,2009,0,10.662251,0,1,0
4808090,2003,0,10.768477,0,0,0
4808090,2004,0,10.781939,0,0,0
4808090,2005,0,10.760841,0,0,0
4808090,2006,0,10.789522,0,0,0
4808090,2007,0,10.754719,0,1,0
4808090,2008,0,10.755325,0,1,0
4808090,2009,0,10.800213,0,1,0
4808100,2003,0,10.682491,0,0,0
4808100,2004,0,10.666133,0,0,0
4808100,2005,0,10.665601,0,0,0
4808100,2006,0,10.739613,0,0,0
4808100,2007,0,10.740459,0,1,0
4808100,2008,0,10.705175,0,1,0
4808100,2009,0,10.733902,0,1,0
4808130,2003,0,10.744976,0,0,0
4808130,2004,0,10.72177,0,0,0
4808130,2005,0,10.703577,0,0,0
4808130,2006,0,10.733553,0,0,0
4808130,2007,0,10.745752,0,1,0
4808130,2008,0,10.737787,0,1,0
4808130,2009,0,10.768519,0,1,0
4808160,2003,0,10.587525,0,0,0
4808160,2004,0,10.553071,0,0,0
4808160,2005,0,10.486641,0,0,0
4808160,2006,0,10.610194,0,0,0
4808160,2007,0,10.580987,0,1,0
4808160,2008,0,10.511621,0,1,0
4808160,2009,0,10.529986,0,1,0
4808190,2003,0,10.661523,0,0,0
4808190,2004,0,10.633902,0,0,0
4808190,2005,0,10.622622,0,0,0
4808190,2006,0,10.698633,0,0,0
4808190,2007,0,10.670904,0,1,0
4808190,2008,0,10.7005,0,1,0
4808190,2009,0,10.710946,0,1,0
4808230,2003,0,10.620164,0,0,0
4808230,2004,0,10.610005,0,0,0
4808230,2005,0,10.612847,0,0,0
4808230,2006,0,10.643059,0,0,0
4808230,2007,0,10.615866,0,1,0
4808230,2008,0,10.649559,0,1,0
4808230,2009,0,10.68126,0,1,0
4808280,2003,0,10.848971,0,0,0
4808280,2004,0,10.817252,0,0,0
4808280,2005,0,10.780322,0,0,0
4808280,2006,0,10.877947,0,0,0
4808280,2007,0,10.86965,0,1,0
4808280,2008,0,10.917177,0,1,0
4808280,2009,0,10.942832,0,1,0
4808310,2003,0,10.783513,0,0,0
4808310,2004,0,10.774785,0,0,0
4808310,2005,0,10.764847,0,0,0
4808310,2006,0,10.806465,0,0,0
4808310,2007,0,10.821637,0,1,0
4808310,2008,0,10.799657,0,1,0
4808310,2009,0,10.827979,0,1,0
4808340,2003,0,10.664807,0,0,0
4808340,2004,0,10.656569,0,0,0
4808340,2005,0,10.655333,0,0,0
4808340,2006,0,10.681448,0,0,0
4808340,2007,0,10.653736,0,1,0
4808340,2008,0,10.664224,0,1,0
4808340,2009,0,10.701698,0,1,0
4808400,2003,0,10.493669,1,0,0
4808400,2004,0,10.518638,1,0,0
4808400,2005,0,10.514879,1,0,0
4808400,2006,0,10.597327,1,0,0
4808400,2007,1,10.581301,1,1,1
4808400,2008,1,10.5615,1,1,1
4808400,2009,1,10.584805,1,1,1
4808430,2003,0,10.766678,0,0,0
4808430,2004,0,10.736226,0,0,0
4808430,2005,0,10.723759,0,0,0
4808430,2006,0,10.761918,0,0,0
4808430,2007,0,10.775604,0,1,0
4808430,2008,0,10.793824,0,1,0
4808430,2009,0,10.827078,0,1,0
4808460,2003,0,10.660728,0,0,0
4808460,2004,0,10.624412,0,0,0
4808460,2005,0,10.645089,0,0,0
4808460,2006,0,10.678864,0,0,0
4808460,2007,0,10.678952,0,1,0
4808460,2008,0,10.667978,0,1,0
4808460,2009,0,10.701917,0,1,0
4808490,2003,0,10.561994,1,0,0
4808490,2004,0,10.571038,1,0,0
4808490,2005,0,10.525831,1,0,0
4808490,2006,0,10.482097,1,0,0
4808490,2007,1,10.474935,1,1,1
4808490,2008,1,10.441792,1,1,1
4808490,2009,1,10.533158,1,1,1
4808520,2003,0,10.57514,0,0,0
4808520,2004,0,10.593703,0,0,0
4808520,2005,0,10.557756,0,0,0
4808520,2006,0,10.603742,0,0,0
4808520,2007,0,10.642386,0,1,0
4808520,2008,0,10.563181,0,1,0
4808520,2009,0,10.567698,0,1,0
4808550,2003,0,10.685815,0,0,0
4808550,2004,0,10.691648,0,0,0
4808550,2005,0,10.671895,0,0,0
4808550,2006,0,10.69559,0,0,0
4808550,2007,0,10.70602,0,1,0
4808550,2008,0,10.672113,0,1,0
4808550,2009,0,10.698711,0,1,0
4808580,2003,0,10.692481,0,0,0
4808580,2004,0,10.67842,0,0,0
4808580,2005,0,10.614011,0,0,0
4808580,2006,0,10.740875,0,0,0
4808580,2007,0,10.744399,0,1,0
4808580,2008,0,10.703537,0,1,0
4808580,2009,0,10.710443,0,1,0
4808610,2003,0,10.617246,0,0,0
4808610,2004,0,10.573258,0,0,0
4808610,2005,0,10.576871,0,0,0
4808610,2006,0,10.633833,0,0,0
4808610,2007,0,10.624743,0,1,0
4808610,2008,0,10.604256,0,1,0
4808610,2009,0,10.658397,0,1,0
4808670,2003,0,10.83591,0,0,0
4808670,2004,0,10.802608,0,0,0
4808670,2005,0,10.762194,0,0,0
4808670,2006,0,10.808526,0,0,0
4808670,2007,0,10.803712,0,1,0
4808670,2008,0,10.807827,0,1,0
4808670,2009,0,10.823366,0,1,0
4808700,2003,0,10.831942,0,0,0
4808700,2004,0,10.82615,0,0,0
4808700,2005,0,10.810528,0,0,0
4808700,2006,0,10.849072,0,0,0
4808700,2007,0,10.865131,0,1,0
4808700,2008,0,10.839032,0,1,0
4808700,2009,0,10.85815,0,1,0
